,0,1,2,3,4,5,6,7,8,9,10,11,12
466,129,124,50,1032,26,146,98,130,62,74,2674,1076,194
467,131,612,794,442,610,730,390,466,890,286,826,634,876
468,132,1437,1286,1640,980,1514,1730,1244,1479,1117,1286,1316,1689
469,133,2940,2788,2756,3020,3044,4552,3908,2712,2084,3524,2928,2856
470,134,292,298,242,218,298,274,170,212,398,338,134,362
471,136,938,770,770,650,1106,962,557,554,533,920,857,560
472,137,16,16,816,736,16,2656,1380,416,740,16,16,16
473,344,4,4,4,4,4,4,4,4,4,4,4,4
474,140,877,1153,1357,937,1168,1543,1168,889,940,1489,1273,1261
475,141,184,248,280,272,384,312,208,440,200,344,398,448
476,429,5,59,71,41,65,41,41,5,5,35,29,11
477,144,62,54,34,54,80,110,50,98,84,226,146,110
478,384,16,16,16,16,141,216,16,108,144,16,16,16
479,430,11,11,11,11,11,89,155,116,149,11,11,11
480,431,18,18,18,18,18,18,134,330,102,18,18,18
481,432,7,7,7,7,7,7,7,7,7,7,7,7
482,385,225,129,25,11,33,165,256,297,75,564,103,109
